Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-07-07,142.9,144.75,142.9,144.18,18505351,0,1,142.9,144.75,142.9,144.18,18505351
2017-07-06,143.02,143.5,142.41,142.73,23374374,0,1,143.02,143.5,142.41,142.73,23374374
2017-07-05,143.69,144.79,142.7237,144.09,20758795,0,1,143.69,144.79,142.7237,144.09,20758795
2017-07-03,144.88,145.3001,143.1,143.5,14276812,0,1,144.88,145.3001,143.1,143.5,14276812
2017-06-30,144.45,144.96,143.78,144.02,22328979,0,1,144.45,144.96,143.78,144.02,22328979
2017-06-29,144.71,145.13,142.28,143.68,31116980,0,1,144.71,145.13,142.28,143.68,31116980
2017-06-28,144.49,146.11,143.1601,145.83,21915939,0,1,144.49,146.11,143.1601,145.83,21915939
2017-06-27,145.01,146.16,143.62,143.74,24423643,0,1,145.01,146.16,143.62,143.74,24423643
2017-06-26,147.17,148.28,145.38,145.82,25524661,0,1,147.17,148.28,145.38,145.82,25524661
2017-06-23,145.13,147.16,145.11,146.35,25997976,0,1,145.13,147.16,145.11,146.35,25997976
